id;nombre;direcion;contacto;cif
1;connecting fritas;methodologies Yemeni;Metal;Buckinghamshire capacidad
2;Murcia Humano system;Murcia aggregate;bricks-and-clicks;open-source Quinta quantify
3;payment Monte;Rojo;Coordinador emulación payment;user-centric División interfaz
4;overriding e-business;Sabroso;Trinidad Raton Dollar;Botswana Metal
5;methodologies strategic;Fantástico;Adelante Blanco GB;XML motivadora
6;input Hormigon;Nacional Pollo parse;UIC-Franc;invoice
7;ROI Diseñador Djibouti;Papelería Adelante;Relacciones SDD Arquitecto;paradigms Guapa Ladrillo
8;Ejecutivo Estratega;Metal;digital seamless Infraestructura;Bolivar
9;Plástico Sabroso;engineer grow Municipio;Técnico;Bedfordshire
10;digital Marca HTTP;Inteligente Edificio;Auto Gerente Somalia;Borders modelo
