id;tipo;matricula;marca;modelo;color;ano;precio;motor
1;user-centric Cambridgeshire Hogar;multitarea Monte;Violeta;asimétrica e-services indexing;Azul;Relacciones;57555;Mejorado Account
2;Guapo Acero;Metal;Quinta;monitor Edificio;Amarillo;Sincronizado brand Acero;51626;ADP
3;transmitting;Ladrillo Guapa;metodologías Salud Acero;Cataluña;Gris;Usabilidad Asistente navigating;84772;invoice dynamic Berkshire
4;generación Ferrocarril Implementación;Algodón;Bricolaje Buckinghamshire EXE;Borders programming;Negro;deploy tangible;57397;input Cataluña
5;aprovechar Municipio;optical payment;Account Berkshire;Métricas;Violeta;Cambridgeshire;67385;intuitive Práctico
6;Respuesta;Rioja;input;JSON deposit Interno;Amarillo;communities Negro Artesanal;7196;Principado regional heurística
7;override;Account;B2C Seguro;pixel;Gris;backing;10292;Paraguay
8;Rústico;Blanco Teclado Hormigon;copying;abierto Azul Credit;Blanco;transicional;61544;matrix Guapa reintermediate
9;programming Métricas Pequeño;transparent;B2B override Gerente;Latvian;Gris;Humano Granito;1837;Juguetería Account
10;Hormigon Implementación Bacon;Técnico Interno;Rojo;overriding;Blanco;Account;94807;Andalucía Salida application
